student_id,student_name,birth_date,grade_level,school_name,barangay,math_score,english_score,science_score,attendance_rate
STU-300074,Christine Williams,2012-10-16,Grade 5,Mabini Integrated School,Bayanihan,64.0,72.0,82.0,0.95
STU-300086,Alicia Taylor,2018-02-05,Grade 3,Poblacion National High School,San Isidro,67.0,89.0,89.0,0.86
STU-300835,John King,2009-10-10,Grade 1,Mabini Integrated School,Poblacion,90.0,87.0,76.0,0.99
STU-300022,Monique Ryan,2005-10-27,Grade 8,Mabini Integrated School,San Miguel,65.0,59.0,60.0,0.87
STU-300718,Kimberly Jacobs,2006-02-23,Grade 8,Poblacion National High School,Bagong Silang,77.0,92.0,92.0,0.84
STU-300295,Nicholas Stafford,2018-01-30,Grade 8,Poblacion National High School,San Miguel,83.0,100.0,74.0,0.96
STU-300812,Patricia Taylor,2016-03-22,Grade 1,Poblacion National High School,Bagong Silang,94.0,76.0,82.0,0.99
STU-300152,Stephen Navarro,2014-01-25,Grade 9,San Isidro Elementary School,San Jose,72.0,93.0,84.0,0.92
STU-300536,Elizabeth Murray,2010-04-20,Grade 2,San Isidro Elementary School,Magsaysay,77.0,78.0,92.0,0.93
STU-300437,Jerry Keller,2012-07-17,Grade 6,Mabini Integrated School,San Jose,60.0,87.0,55.0,0.79
STU-300997,Barbara Thomas,2018-10-12,Grade 7,Rizal Elementary School,San Jose,78.0,57.0,81.0,0.89
STU-300776,Lori Lee,2009-03-07,Grade 3,Mabini Integrated School,Bagong Silang,69.0,67.0,78.0,0.92
STU-300308,Bobby Anderson,2011-10-20,Grade 8,Poblacion National High School,San Miguel,89.0,69.0,78.0,0.95
STU-300368,Sean Schmitt,2006-10-18,Grade 7,San Isidro Elementary School,Bayanihan,64.0,92.0,80.0,0.94
STU-300603,Kara Evans,2005-06-05,Grade 8,Poblacion National High School,Mabini,79.0,76.0,95.0,0.83
STU-300154,David Williams,2010-06-25,Grade 8,Poblacion National High School,Del Pilar,93.0,91.0,88.0,0.94
STU-300942,Carol Williams,2007-11-05,Grade 5,Mabini Integrated School,San Isidro,59.0,70.0,71.0,1.0
STU-300789,Adam Fisher,2012-07-22,Grade 4,Mabini Integrated School,Magsaysay,85.0,71.0,68.0,1.0
STU-300253,Zachary Meadows,2018-10-21,Grade 10,Poblacion National High School,Bagong Silang,89.0,75.0,90.0,0.97
STU-300572,Jesse Sanders,2006-09-21,Grade 7,Mabini Integrated School,San Isidro,69.0,87.0,79.0,0.98
STU-300996,Timothy Morrow,2020-09-09,Grade 3,Poblacion National High School,Sta. Cruz,83.0,98.0,76.0,0.86
STU-300494,Audrey Brown,2010-06-22,Grade 8,Poblacion National High School,San Jose,78.0,67.0,74.0,0.94
STU-300651,Daniel Hebert,2008-03-26,Grade 8,Rizal Elementary School,Mabini,61.0,81.0,80.0,0.85
STU-300466,Aaron Brown,2013-08-15,Grade 10,Mabini Integrated School,San Jose,54.0,82.0,75.0,0.9
STU-300050,Chelsea Murphy,2018-04-10,Grade 1,Poblacion National High School,Sta. Cruz,88.0,100.0,75.0,0.87
STU-300518,Ray Russell,2020-10-18,Grade 7,San Isidro Elementary School,Poblacion,68.0,90.0,78.0,0.84
STU-300366,Christopher Howard DVM,2007-10-04,Grade 9,San Isidro Elementary School,San Miguel,81.0,89.0,83.0,0.88
STU-300332,Amanda Contreras,2019-07-28,Grade 7,Poblacion National High School,Magsaysay,87.0,100.0,67.0,0.98
STU-300307,Eric Scott,2008-06-19,Grade 1,Rizal Elementary School,Magsaysay,89.0,71.0,85.0,0.93
STU-300831,Elizabeth Richards,2012-03-13,Grade 1,Poblacion National High School,San Isidro,76.0,69.0,72.0,0.92
STU-300707,Kelly Cooper,2014-08-08,Grade 3,San Isidro Elementary School,San Isidro,100.0,79.0,84.0,0.9
STU-300799,Ronnie Boyd,2012-02-22,Grade 5,San Isidro Elementary School,Bagong Silang,71.0,80.0,74.0,0.87
STU-300978,Thomas Mayo,2013-05-15,Grade 1,Poblacion National High School,Bagong Silang,88.0,83.0,81.0,0.88
STU-300386,Wesley Cummings,2020-04-23,Grade 10,San Isidro Elementary School,Del Pilar,82.0,70.0,94.0,0.83
STU-300138,Elizabeth Johnson,2009-10-22,Grade 10,Mabini Integrated School,Del Pilar,95.0,81.0,83.0,1.0
STU-300126,Christopher Macias,2020-04-13,Grade 2,Rizal Elementary School,Rizal,73.0,80.0,70.0,1.0
STU-300377,Brian Choi,2011-12-23,Grade 8,San Isidro Elementary School,Poblacion,84.0,60.0,68.0,0.96
STU-300910,Yesenia Silva,2015-03-16,Grade 8,Mabini Integrated School,Poblacion,67.0,81.0,89.0,0.96
STU-300825,James Brown,2007-08-05,Grade 3,San Isidro Elementary School,Poblacion,75.0,76.0,85.0,1.0
STU-300046,Julian Cohen,2011-12-02,Grade 4,Poblacion National High School,Del Pilar,84.0,90.0,79.0,0.95
STU-300441,David Norman,2008-01-19,Grade 8,San Isidro Elementary School,San Isidro,73.0,64.0,87.0,0.83
STU-300389,William Morrison,2015-09-03,Grade 9,Poblacion National High School,San Isidro,80.0,81.0,83.0,0.96
STU-300372,Heather Tran,2021-04-07,Grade 3,Poblacion National High School,Rizal,93.0,93.0,85.0,0.9
STU-300390,Jeffrey Smith,2015-01-24,Grade 5,Poblacion National High School,Mabini,100.0,94.0,92.0,0.94
STU-300109,Ashley Wallace,2019-12-26,Grade 10,San Isidro Elementary School,Rizal,100.0,79.0,71.0,0.87
STU-300539,Chris Wilkins,2013-02-25,Grade 9,San Isidro Elementary School,San Miguel,83.0,56.0,77.0,0.85
STU-300726,Dustin Harris,2009-06-29,Grade 5,Poblacion National High School,San Miguel,85.0,69.0,71.0,0.89
STU-300136,Danielle Hernandez,2018-02-07,Grade 4,Rizal Elementary School,San Isidro,,,,
STU-300940,William Ward,2010-11-21,Grade 7,Mabini Integrated School,Sta. Cruz,76.0,65.0,65.0,0.83
STU-300630,Kevin Garcia,2015-06-08,Grade 2,Rizal Elementary School,Rizal,57.0,92.0,83.0,0.92
STU-300129,Lori Sanders,2019-07-04,Grade 10,Rizal Elementary School,Bagong Silang,77.0,74.0,70.0,0.89
STU-300425,Cheryl Swanson,2009-04-28,Grade 6,San Isidro Elementary School,San Jose,82.0,89.0,70.0,0.94
STU-300416,Heather Lewis,2008-07-14,Grade 3,Rizal Elementary School,Mabini,79.0,82.0,81.0,0.82
STU-300369,Vincent Rodriguez,2008-07-04,Grade 1,San Isidro Elementary School,Bagong Silang,79.0,93.0,74.0,0.97
STU-300107,Barbara Hernandez,2009-01-13,Grade 9,Mabini Integrated School,Sta. Cruz,632.0,648.0,624.0,7.36
STU-300399,Megan Evans,2017-08-08,Grade 6,Rizal Elementary School,Mabini,79.0,83.0,62.0,0.88
STU-300904,April Campbell,2007-06-11,Grade 10,Poblacion National High School,Magsaysay,63.0,78.0,68.0,0.95
STU-300544,Ryan Thompson,2017-04-01,Grade 1,San Isidro Elementary School,San Miguel,78.0,75.0,75.0,0.93
STU-300100,Melissa West,2013-06-12,Grade 2,Mabini Integrated School,San Miguel,65.0,90.0,66.0,0.84
STU-300848,Matthew Ward,2018-01-26,Grade 6,Poblacion National High School,Magsaysay,73.0,83.0,93.0,0.86
STU-300941,Jesus Delacruz,2010-01-03,Grade 9,San Isidro Elementary School,San Jose,93.0,88.0,81.0,0.93
STU-300977,Lauren Sandoval,2007-02-08,Grade 1,San Isidro Elementary School,Mabini,91.0,80.0,97.0,0.92
STU-300219,Cole Williams,2021-04-14,Grade 7,San Isidro Elementary School,San Jose,70.0,89.0,96.0,0.89
STU-300113,Brandon Davis MD,2014-05-17,Grade 5,Mabini Integrated School,Del Pilar,74.0,93.0,81.0,0.92
STU-300623,Leah Rowland,2007-05-10,Grade 3,Mabini Integrated School,Poblacion,90.0,91.0,63.0,0.9
STU-300177,Corey Shaw,2014-06-09,Grade 10,Mabini Integrated School,Maligaya,65.0,67.0,79.0,0.95
STU-300294,David Morse,2014-09-23,Grade 1,Mabini Integrated School,Sta. Cruz,89.0,95.0,84.0,0.96
STU-300048,Kaitlyn Ross,2013-09-29,Grade 2,Mabini Integrated School,Sta. Cruz,77.0,90.0,86.0,0.94
STU-300275,Edward Clarke,2013-12-31,Grade 2,Poblacion National High School,Rizal,68.0,84.0,55.0,1.0
STU-300995,Jason Alvarez,2011-11-15,Grade 9,San Isidro Elementary School,Mabini,69.0,84.0,65.0,0.87
STU-300405,Melissa Bishop,2017-07-31,Grade 6,Poblacion National High School,Del Pilar,79.0,84.0,75.0,0.9
STU-300712,Dustin Adams,2016-04-07,Grade 4,Mabini Integrated School,Poblacion,66.0,60.0,42.0,0.91
STU-300844,Robert Robinson,2017-05-29,Grade 7,San Isidro Elementary School,Rizal,78.0,79.0,78.0,1.0
STU-300057,Laura Clark,2010-03-31,Grade 6,Poblacion National High School,Magsaysay,100.0,91.0,66.0,0.93
STU-300811,Molly Taylor,2020-11-07,Grade 6,Poblacion National High School,Rizal,,,,
STU-300674,Elizabeth Hanson,2011-09-18,Grade 1,Rizal Elementary School,Maligaya,632.0,648.0,624.0,7.36
STU-300498,David Ayala,2019-03-20,Grade 8,Mabini Integrated School,San Jose,73.0,64.0,89.0,1.0
STU-300920,Glenda Snyder DVM,2005-07-20,Grade 10,San Isidro Elementary School,Bagong Silang,79.0,83.0,83.0,0.9
STU-300343,Caitlin Ewing,2012-10-27,Grade 4,Poblacion National High School,Bagong Silang,79.0,69.0,88.0,0.96
STU-300885,Alexandra Lewis,2021-02-05,Grade 5,San Isidro Elementary School,Bayanihan,94.0,81.0,85.0,0.94
STU-300605,Michael Williams,2012-08-31,Grade 3,Rizal Elementary School,San Jose,92.0,82.0,73.0,0.85
STU-300927,Penny Middleton,2006-06-17,Grade 8,Poblacion National High School,San Jose,69.0,73.0,73.0,1.0
STU-300124,Jenny Garner,2019-10-31,Grade 2,San Isidro Elementary School,Del Pilar,75.0,87.0,55.0,1.0
STU-300858,Scott Merritt,2014-06-27,Grade 1,Mabini Integrated School,Bagong Silang,79.0,72.0,100.0,0.91
STU-300670,James Snyder,2016-06-09,Grade 9,Mabini Integrated School,Mabini,68.0,89.0,49.0,0.9
STU-300584,Ellen Becker,2012-05-08,Grade 10,San Isidro Elementary School,Maligaya,,,,
STU-300225,Karen Ford,2012-10-15,Grade 8,San Isidro Elementary School,San Jose,97.0,75.0,76.0,0.82
STU-300172,Stefanie York,2005-10-21,Grade 3,Mabini Integrated School,Mabini,80.0,82.0,79.0,0.88
STU-300267,Stephanie Proctor,2011-04-24,Grade 6,Rizal Elementary School,San Isidro,67.0,90.0,70.0,0.85
STU-300245,William Smith,2008-03-15,Grade 2,San Isidro Elementary School,Rizal,72.0,74.0,77.0,1.0
STU-300435,Julie Townsend,2015-07-12,Grade 3,Rizal Elementary School,Magsaysay,87.0,89.0,80.0,1.0
STU-300983,Christopher Hunt,2018-03-19,Grade 8,Rizal Elementary School,Rizal,84.0,72.0,80.0,0.88
STU-300373,Mark Jensen,2015-09-28,Grade 6,Rizal Elementary School,Magsaysay,88.0,93.0,68.0,1.0
STU-300084,Morgan Jones,2014-11-07,Grade 4,Rizal Elementary School,Rizal,78.0,74.0,82.0,0.86
STU-300917,Tiffany White,2013-08-27,Grade 2,Poblacion National High School,Bagong Silang,94.0,82.0,77.0,0.89
STU-300692,Courtney Molina,2009-05-09,Grade 10,Mabini Integrated School,Bagong Silang,79.0,92.0,97.0,0.94
STU-300699,Lauren Mitchell,2019-04-17,Grade 10,Mabini Integrated School,Mabini,97.0,92.0,76.0,0.88
STU-300348,Emily Mcclain,2016-05-31,Grade 8,Mabini Integrated School,Bagong Silang,83.0,77.0,68.0,0.97
STU-300930,April Bailey,2010-08-14,Grade 2,San Isidro Elementary School,San Jose,58.0,100.0,81.0,0.97
STU-300570,Kelsey Greene,2013-02-18,Grade 6,San Isidro Elementary School,Magsaysay,84.0,62.0,78.0,1.0
STU-300063,Katie Johnson MD,2020-10-09,Grade 8,Poblacion National High School,Magsaysay,79.0,81.0,78.0,0.89
STU-300171,Angela Tapia,2014-03-18,Grade 9,Rizal Elementary School,Rizal,92.0,78.0,100.0,0.87
STU-300455,Erik May,2007-02-10,Grade 9,Poblacion National High School,Mabini,92.0,93.0,77.0,0.94
STU-300769,Laura Williams,2018-12-24,Grade 1,Mabini Integrated School,Maligaya,64.0,51.0,91.0,0.9
STU-300607,Miss Becky Weaver,2015-08-30,Grade 2,Mabini Integrated School,San Jose,76.0,89.0,78.0,0.86
STU-300976,Shannon Smith,2015-10-08,Grade 6,San Isidro Elementary School,Poblacion,83.0,87.0,90.0,0.96
STU-300143,Joshua Watson,2012-10-30,Grade 1,Poblacion National High School,Bagong Silang,73.0,91.0,77.0,0.92
STU-300269,Wendy Miller,2013-07-05,Grade 1,San Isidro Elementary School,Mabini,82.0,65.0,64.0,0.9
STU-300723,Crystal Barron,2019-05-31,Grade 10,Poblacion National High School,Sta. Cruz,100.0,70.0,87.0,0.84
STU-300532,Daniel Simmons,2012-03-11,Grade 10,Rizal Elementary School,Del Pilar,92.0,59.0,92.0,0.99
STU-300833,Olivia Chase,2012-06-14,Grade 10,Mabini Integrated School,Bayanihan,71.0,63.0,68.0,0.89
STU-300230,David Ortiz,2020-08-25,Grade 10,Poblacion National High School,Magsaysay,75.0,82.0,100.0,0.85
STU-300519,Maria Turner,2017-01-24,Grade 4,Poblacion National High School,Poblacion,66.0,100.0,72.0,0.93
STU-300563,Jenna Pitts,2020-02-20,Grade 5,Rizal Elementary School,San Isidro,96.0,81.0,85.0,0.95
STU-300610,Robin Brown,2012-11-20,Grade 7,Poblacion National High School,Bagong Silang,78.0,74.0,86.0,0.92
STU-300863,Kristi Hopkins,2011-04-07,Grade 7,Rizal Elementary School,Rizal,88.0,90.0,95.0,0.92
STU-300064,Timothy Perez,2010-11-29,Grade 4,Poblacion National High School,Rizal,64.0,98.0,75.0,0.86
STU-300132,Latoya Castro,2011-09-20,Grade 9,Mabini Integrated School,Magsaysay,61.0,71.0,52.0,0.95
STU-300612,Tracy Jennings,2012-03-18,Grade 10,Poblacion National High School,San Miguel,86.0,78.0,85.0,0.89
STU-300317,Ronald Arellano,2017-10-01,Grade 6,Rizal Elementary School,San Jose,88.0,75.0,82.0,0.96
STU-300664,Jessica Martin DVM,2020-04-08,Grade 7,Poblacion National High School,Maligaya,93.0,89.0,81.0,0.91
STU-300081,Vanessa Brown,2017-11-21,Grade 10,Rizal Elementary School,San Isidro,56.0,74.0,74.0,0.78
STU-300961,Yvette Stafford,2007-02-25,Grade 8,Rizal Elementary School,Poblacion,91.0,83.0,62.0,0.85
STU-300214,James Kim,2006-05-11,Grade 7,Rizal Elementary School,San Isidro,100.0,63.0,75.0,0.99
STU-300115,Jeremy Cooper,2019-07-12,Grade 1,Rizal Elementary School,Mabini,68.0,74.0,65.0,0.93
STU-300411,Tammy Miller,2019-08-25,Grade 2,Mabini Integrated School,Mabini,,,,
STU-300476,Brittany Logan,2011-11-24,Grade 3,Mabini Integrated School,Maligaya,77.0,74.0,72.0,0.93
STU-300735,Curtis Wells,2015-10-13,Grade 5,Rizal Elementary School,Bayanihan,88.0,55.0,78.0,0.91
STU-300943,Rachel Thompson,2020-03-22,Grade 4,Rizal Elementary School,Magsaysay,86.0,81.0,91.0,1.0
STU-300812,Patricia Taylor,2016-03-22,Grade 1,Poblacion National High School,Bagong Silang,94.0,76.0,82.0,0.99
STU-300288,Ruth Taylor,2019-03-21,Grade 6,Mabini Integrated School,Maligaya,75.0,72.0,79.0,1.0
STU-300300,Mr. Brian Sanchez,2020-12-29,Grade 8,San Isidro Elementary School,San Jose,632.0,648.0,624.0,7.36
STU-300879,Nicholas Thomas,2020-03-12,Grade 5,San Isidro Elementary School,Sta. Cruz,59.0,79.0,70.0,0.89
STU-300628,Kendra Hall,2011-07-29,Grade 4,Poblacion National High School,Bayanihan,47.0,90.0,81.0,0.96
STU-300453,Denise Smith,2009-09-02,Grade 7,Mabini Integrated School,Magsaysay,70.0,100.0,81.0,0.9
STU-300167,Miss Jessica Lee DVM,2018-01-05,Grade 2,San Isidro Elementary School,San Jose,81.0,70.0,67.0,0.92
STU-300757,Nicholas Houston,2018-02-01,Grade 4,Mabini Integrated School,San Isidro,82.0,86.0,89.0,0.97
STU-300906,Tiffany Cantrell,2011-04-10,Grade 5,San Isidro Elementary School,Magsaysay,86.0,84.0,94.0,0.93
STU-300679,Melissa Henderson,2008-10-11,Grade 5,San Isidro Elementary School,San Isidro,87.0,90.0,74.0,1.0
STU-300006,Thomas Martinez,2020-02-20,Grade 3,Poblacion National High School,Poblacion,58.0,72.0,81.0,0.98
STU-300721,Taylor Daniels,2020-09-14,Grade 8,San Isidro Elementary School,Del Pilar,87.0,68.0,89.0,0.99
STU-300556,Donald Kramer,2008-09-17,Grade 4,Mabini Integrated School,Sta. Cruz,62.0,94.0,81.0,0.96
STU-300384,Lindsey Cabrera,2014-09-25,Grade 2,Rizal Elementary School,Magsaysay,75.0,75.0,86.0,0.85
STU-300900,Michelle West,2006-08-04,Grade 10,Mabini Integrated School,San Isidro,79.0,75.0,66.0,0.91
STU-300040,Theresa Bailey,2019-10-30,Grade 9,Mabini Integrated School,Poblacion,68.0,83.0,67.0,0.95
STU-300783,Victoria Sanchez,2017-07-23,Grade 6,Rizal Elementary School,Del Pilar,78.0,97.0,66.0,0.97
STU-300512,Michael Miller,2007-06-17,Grade 8,Mabini Integrated School,Rizal,66.0,82.0,56.0,0.98
STU-300662,Regina Williams,2018-08-03,Grade 1,Poblacion National High School,San Miguel,73.0,81.0,70.0,0.99
STU-300017,John Fletcher,2016-12-07,Grade 9,Mabini Integrated School,Magsaysay,94.0,73.0,76.0,0.88
STU-300396,Michael Cisneros,2019-05-27,Grade 8,San Isidro Elementary School,Magsaysay,65.0,76.0,86.0,0.91
STU-300720,Jamie Smith,2021-03-12,Grade 10,San Isidro Elementary School,Del Pilar,71.0,69.0,76.0,0.91
STU-300838,Brooke Sexton,2015-12-11,Grade 9,San Isidro Elementary School,San Miguel,74.0,75.0,86.0,0.93
STU-300502,Glenn Young,2018-05-11,Grade 8,Mabini Integrated School,Maligaya,100.0,76.0,89.0,1.0
STU-300683,Jennifer Carter,2018-01-07,Grade 6,San Isidro Elementary School,Bagong Silang,74.0,81.0,92.0,0.92
STU-300356,Savannah Gonzales,2021-01-24,Grade 10,San Isidro Elementary School,Bayanihan,86.0,77.0,78.0,0.85
STU-300802,Amber Rios,2016-10-04,Grade 6,San Isidro Elementary School,San Jose,92.0,90.0,76.0,0.94
STU-300434,Abigail Barnett,2018-02-23,Grade 1,Poblacion National High School,Rizal,76.0,82.0,97.0,0.89
STU-300676,Aaron Collier,2012-09-02,Grade 9,Rizal Elementary School,Sta. Cruz,86.0,85.0,73.0,0.86
STU-300928,Jennifer Lee,2018-01-01,Grade 2,San Isidro Elementary School,San Miguel,81.0,67.0,87.0,0.99
STU-300018,Erica Madden,2018-06-04,Grade 10,Poblacion National High School,San Isidro,89.0,81.0,78.0,0.94
STU-300032,Ashley Brown,2010-03-07,Grade 9,Rizal Elementary School,San Isidro,100.0,64.0,74.0,0.97
STU-300053,George Logan,2020-12-03,Grade 7,San Isidro Elementary School,Mabini,70.0,62.0,80.0,0.93
STU-300213,Roger Kirk,2005-11-15,Grade 8,Rizal Elementary School,Del Pilar,63.0,89.0,89.0,0.99
STU-300849,Logan Thompson,2007-01-19,Grade 5,Poblacion National High School,Del Pilar,75.0,79.0,87.0,1.0
STU-300730,Kevin Love,2020-12-05,Grade 7,Mabini Integrated School,Bagong Silang,52.0,76.0,91.0,0.97
STU-300526,Philip Smith,2014-10-21,Grade 7,Mabini Integrated School,Maligaya,79.0,93.0,85.0,0.9
STU-300191,Angela Monroe,2012-09-17,Grade 9,Poblacion National High School,Maligaya,67.0,86.0,84.0,0.89
STU-300283,Courtney Williams,2009-07-10,Grade 7,Mabini Integrated School,Bagong Silang,85.0,81.0,73.0,0.93
STU-300913,Jerome Cortez,2012-02-09,Grade 4,Poblacion National High School,San Jose,81.0,66.0,82.0,0.9
STU-300078,Melissa Obrien,2015-06-26,Grade 4,San Isidro Elementary School,Poblacion,84.0,79.0,74.0,1.0
STU-300600,Cameron Brown,2011-04-13,Grade 6,Poblacion National High School,San Jose,66.0,75.0,92.0,0.95
STU-300576,Isaac Rodgers,2020-10-06,Grade 5,Poblacion National High School,Magsaysay,74.0,93.0,72.0,0.87
STU-300042,Alicia Mitchell,2015-11-09,Grade 1,San Isidro Elementary School,Magsaysay,84.0,86.0,76.0,0.91
STU-300597,Erica Wilson,2018-03-28,Grade 2,Rizal Elementary School,Bayanihan,57.0,73.0,74.0,0.93
STU-300574,Andrew Ballard,2017-12-26,Grade 1,San Isidro Elementary School,San Jose,75.0,71.0,76.0,0.84
STU-300027,Ashley Vasquez,2012-10-22,Grade 2,Rizal Elementary School,Bayanihan,91.0,84.0,78.0,0.86
STU-300272,Tiffany Jones,2019-01-23,Grade 2,Rizal Elementary School,Bagong Silang,72.0,85.0,80.0,0.83
STU-300326,Jennifer Roth,2008-07-01,Grade 6,Poblacion National High School,San Miguel,82.0,91.0,73.0,0.83
STU-300567,Alexis Becker,2017-10-24,Grade 1,Mabini Integrated School,Bagong Silang,46.0,86.0,82.0,0.9
STU-300025,Steven Atkinson,2016-01-26,Grade 7,San Isidro Elementary School,Magsaysay,67.0,77.0,56.0,0.91
STU-300208,Caleb Ramirez,2010-03-25,Grade 3,Mabini Integrated School,Bayanihan,83.0,74.0,63.0,0.93
STU-300916,Tiffany Porter MD,2010-04-01,Grade 10,Mabini Integrated School,San Miguel,89.0,80.0,59.0,1.0
STU-300030,Natalie Garcia,2011-08-04,Grade 3,Rizal Elementary School,Maligaya,74.0,85.0,94.0,0.87
STU-300292,Matthew Phelps,2018-05-21,Grade 6,Rizal Elementary School,Bagong Silang,67.0,88.0,71.0,0.91
STU-300287,Susan Palmer,2017-06-14,Grade 8,Poblacion National High School,Poblacion,95.0,81.0,70.0,0.88
STU-300224,Raymond Choi,2019-01-15,Grade 4,Rizal Elementary School,Maligaya,86.0,59.0,87.0,0.95
STU-300637,Rebekah Manning,2009-07-22,Grade 6,Poblacion National High School,Del Pilar,50.0,81.0,75.0,0.92
STU-300357,Jeffrey Mcgee,2010-09-04,Grade 3,Mabini Integrated School,Del Pilar,67.0,80.0,64.0,0.93
STU-300266,David Yang,2009-12-29,Grade 2,Poblacion National High School,Magsaysay,68.0,66.0,80.0,0.96
STU-300134,Anthony Berry,2020-04-22,Grade 1,San Isidro Elementary School,Magsaysay,87.0,77.0,100.0,0.93
STU-300105,Ethan Pollard,2017-06-19,Grade 10,Poblacion National High School,Rizal,72.0,87.0,77.0,0.95
STU-300007,Amanda Rogers,2006-04-05,Grade 10,San Isidro Elementary School,Rizal,72.0,89.0,78.0,0.97
STU-300125,Monica Higgins,2014-03-25,Grade 8,Mabini Integrated School,Magsaysay,73.0,69.0,81.0,0.92
STU-300593,Nancy Morton,2007-07-22,Grade 9,San Isidro Elementary School,Bagong Silang,85.0,71.0,78.0,0.86
STU-300988,Paul Gutierrez,2008-07-13,Grade 6,San Isidro Elementary School,Bayanihan,80.0,66.0,91.0,0.95
STU-300958,Sarah Terry,2016-03-23,Grade 5,Mabini Integrated School,Magsaysay,89.0,79.0,73.0,0.86
STU-300509,Patricia Robinson,2008-05-09,Grade 9,Poblacion National High School,Mabini,99.0,92.0,85.0,0.95
STU-300378,Jose Jennings,2021-04-18,Grade 7,Rizal Elementary School,Del Pilar,69.0,82.0,80.0,0.75
STU-300700,Lindsey Moore,2011-09-28,Grade 7,San Isidro Elementary School,San Jose,94.0,100.0,71.0,0.96
STU-300608,Jessica Nelson,2015-08-22,Grade 10,Mabini Integrated School,Mabini,66.0,81.0,66.0,0.96
STU-300797,Caroline Webb,2015-05-17,Grade 5,Mabini Integrated School,Magsaysay,90.0,92.0,69.0,0.99
STU-300596,David Woods,2018-09-16,Grade 1,Rizal Elementary School,Poblacion,87.0,86.0,72.0,0.95
STU-300555,Jeremy Moses,2015-10-18,Grade 10,Poblacion National High School,San Miguel,85.0,82.0,80.0,0.88
STU-300199,Andrea Berry,2009-05-20,Grade 4,Rizal Elementary School,San Jose,87.0,84.0,90.0,0.97
STU-300678,Sandra Roberson,2010-04-10,Grade 4,San Isidro Elementary School,San Jose,,,,
STU-300548,Kimberly Ochoa,2007-05-25,Grade 2,Rizal Elementary School,Bagong Silang,56.0,75.0,66.0,0.99
STU-300973,April Donaldson,2020-05-03,Grade 9,Mabini Integrated School,Bagong Silang,,,,
STU-300839,Taylor Thomas,2016-10-29,Grade 3,Mabini Integrated School,Bagong Silang,93.0,84.0,67.0,1.0
STU-300119,Ryan Wade,2019-04-29,Grade 1,San Isidro Elementary School,Maligaya,100.0,88.0,70.0,0.91
STU-300452,Michelle Gomez,2019-05-30,Grade 7,San Isidro Elementary School,Poblacion,82.0,62.0,72.0,0.89
STU-300080,Kyle Sweeney,2011-12-21,Grade 1,Mabini Integrated School,Del Pilar,94.0,74.0,60.0,0.91
STU-300914,Dennis Mendez,2006-06-28,Grade 8,San Isidro Elementary School,Bayanihan,93.0,82.0,70.0,0.97
