order_id,order_date,customer_name,barangay,product,category,quantity,unit_price,total_amount,payment_method
SO-100437,2026-05-24,Carrie Watson,Magsaysay,Instant Noodles,Beverage,2.0,481.49,962.98,Bank Transfer
SO-100997,2026-05-24,John Villa,Bagong Silang,Shampoo,Grocery,2.0,603.91,1207.82,Bank Transfer
SO-100776,2026-05-24,James Jimenez,Magsaysay,Coffee,Grocery,4.0,196.72,786.88,GCash
SO-100308,2026-05-24,Theresa Larson,Rizal,Coffee,Grocery,6.0,46.38,278.28,GCash
SO-100368,2026-05-24,Mary Evans,Bayanihan,Coffee,Household,4.0,869.4,3477.6,Card
SO-100603,2026-05-24,Anna Green,Rizal,Coffee,Grocery,3.0,928.69,2786.07,Cash
SO-100154,2026-05-24,Sean Smith,San Jose,Rice,Beverage,7.0,490.74,3435.18,Cash
SO-100942,2026-05-24,Dillon Christensen,Magsaysay,Rice,Personal Care,1.0,925.25,925.25,Bank Transfer
SO-100789,2026-05-24,Jeremiah Copeland,Poblacion,Rice,Beverage,2.0,232.88,465.76,Cash
SO-100253,2026-05-24,Walter Harding,San Miguel,Rice,Household,5.0,932.42,4662.1,Cash
SO-100572,2026-05-24,Rodney Lawrence,San Miguel,Cooking Oil,Grocery,6.0,530.97,3185.82,GCash
SO-100996,2026-05-24,Robert Edwards,San Jose,Instant Noodles,Beverage,2.0,681.64,1363.28,Card
SO-100494,2026-05-24,Emily Phillips,Bayanihan,Soap,Grocery,6.0,378.53,2271.18,Card
SO-100651,2026-05-24,Brittney Armstrong,Bayanihan,Shampoo,Beverage,5.0,213.36,1066.8,Bank Transfer
SO-100466,2026-05-24,Diamond Salazar,San Jose,Rice,Household,6.0,815.68,4894.08,GCash
SO-100050,2026-05-24,Madison Miller,San Isidro,Coffee,Beverage,7.0,832.46,5827.22,Bank Transfer
SO-100518,2026-05-24,Matthew Rodriguez,Mabini,Instant Noodles,Household,3.0,293.46,880.38,Bank Transfer
SO-100366,2026-05-24,Betty Padilla,Mabini,Coffee,Personal Care,2.0,306.26,612.52,Cash
SO-100332,2026-05-24,Ellen Perry,Maligaya,Rice,Beverage,7.0,166.77,1167.39,Cash
SO-100307,2026-05-24,Amber Boyd,Sta. Cruz,Shampoo,Grocery,5.0,265.69,1328.45,Card
SO-100831,2026-05-24,Lauren Anderson,Rizal,Coffee,Household,1.0,119.93,119.93,Bank Transfer
SO-100707,2026-05-24,Karl Hughes,Mabini,Rice,Beverage,3.0,542.93,1628.79,Cash
SO-100799,2026-05-24,Cheyenne Leonard,Magsaysay,Rice,Household,4.0,276.23,1104.92,Card
SO-100978,2026-05-24,Andrew Cook DVM,Sta. Cruz,Rice,Household,5.0,881.08,4405.4,GCash
SO-100386,2026-05-24,Donna Williams,Mabini,Canned Sardines,Household,1.0,402.95,402.95,Card
SO-100138,2026-05-24,Steven Flores,Mabini,Canned Sardines,Household,5.0,669.92,3349.6,Cash
SO-100126,2026-05-24,Dustin Jimenez,San Miguel,Canned Sardines,Grocery,5.0,295.72,1478.6,Cash
SO-100377,2026-05-24,Tina Allison,Bayanihan,Rice,Grocery,4.0,845.21,3380.84,Cash
SO-100910,2026-05-24,Joshua Dawson MD,Rizal,Milk,Beverage,3.0,616.07,1848.21,Cash
SO-100825,2026-05-24,Jesse Cortez,Bayanihan,Canned Sardines,Household,2.0,358.94,717.88,GCash
SO-100046,2026-05-24,Danny Harris,Magsaysay,Cooking Oil,Personal Care,5.0,243.52,1217.6,GCash
SO-100441,2026-05-24,Nancy Mcguire,Maligaya,Shampoo,Household,3.0,471.9,1415.7,Cash
SO-100389,2026-05-24,Mary Ferguson,Del Pilar,Soap,Beverage,3.0,505.78,1517.34,Bank Transfer
SO-100372,2026-05-24,Nicholas Bell,Bayanihan,Coffee,Personal Care,2.0,567.91,1135.82,Bank Transfer
SO-100390,2026-05-24,Cheryl Rodriguez,Bagong Silang,Cooking Oil,Personal Care,4.0,637.85,2551.4,Cash
SO-100109,2026-05-24,William Franklin,Bagong Silang,Milk,Grocery,7.0,336.91,2358.37,Cash
SO-100539,2026-05-24,Nancy Wilcox,Sta. Cruz,Shampoo,Household,9.0,501.64,4514.76,Card
SO-100726,2026-05-24,Thomas Garrett,San Isidro,Canned Sardines,Household,3.0,180.39,541.17,Bank Transfer
SO-100136,2026-05-24,Mr. James Boyd DDS,Sta. Cruz,Shampoo,Beverage,,,,GCash
SO-100940,2026-05-24,Shane Fernandez,San Isidro,Shampoo,Household,3.0,82.99,248.97,Cash
SO-100630,2026-05-24,Eric Smith,Sta. Cruz,Coffee,Beverage,1.0,90.35,90.35,GCash
SO-100129,2026-05-24,Jason Powell,Sta. Cruz,Shampoo,Household,2.0,903.98,1807.96,Cash
SO-100425,2026-05-24,Austin Bennett,Bagong Silang,Rice,Grocery,4.0,711.54,2846.16,Bank Transfer
SO-100416,2026-05-24,Danielle Ferguson,San Miguel,Shampoo,Grocery,2.0,401.83,803.66,Cash
SO-100369,2026-05-24,Stacey Lara,Poblacion,Milk,Beverage,4.0,70.22,280.88,GCash
SO-100107,2026-05-24,Michelle Ford,Bagong Silang,Milk,Grocery,32.0,3956.12,12662.48,Bank Transfer
SO-100399,2026-05-24,Kenneth Simon,San Miguel,Rice,Beverage,3.0,453.6,1360.8,Bank Transfer
SO-100904,2026-05-24,Brian Thompson,Bagong Silang,Rice,Beverage,4.0,369.37,1477.48,GCash
SO-100544,2026-05-24,Meredith Richardson,Magsaysay,Instant Noodles,Beverage,8.0,758.01,6064.08,GCash
SO-100100,2026-05-24,Bryan Henson,Rizal,Shampoo,Beverage,6.0,546.71,3280.26,Card
SO-100848,2026-05-24,Benjamin Brown,Magsaysay,Coffee,Beverage,3.0,550.83,1652.49,GCash
SO-100941,2026-05-24,Sonya Kim,Bayanihan,Cooking Oil,Beverage,1.0,249.38,249.38,Cash
SO-100977,2026-05-24,Erin Gomez,San Miguel,Rice,Beverage,3.0,457.33,1371.99,GCash
SO-100219,2026-05-24,Thomas Rivas,Magsaysay,Milk,Beverage,2.0,35.96,71.92,Card
SO-100113,2026-05-24,Ethan Lester,Maligaya,Cooking Oil,Personal Care,2.0,550.41,1100.82,Card
SO-100623,2026-05-24,Carlos Beasley,Del Pilar,Milk,Personal Care,4.0,191.62,766.48,Cash
SO-100177,2026-05-24,Christopher Cannon,Maligaya,Milk,Beverage,5.0,447.14,2235.7,Cash
SO-100294,2026-05-24,Timothy Ramirez,Maligaya,Soap,Grocery,3.0,314.63,943.89,Cash
SO-100048,2026-05-24,Tony Thompson,Sta. Cruz,Shampoo,Grocery,2.0,805.82,1611.64,Bank Transfer
SO-100275,2026-05-24,Anthony Mays,Mabini,Milk,Grocery,6.0,269.74,1618.44,Cash
SO-100995,2026-05-24,Timothy Adams,Maligaya,Canned Sardines,Grocery,5.0,478.43,2392.15,Bank Transfer
SO-100405,2026-05-24,Teresa Mejia,Bayanihan,Instant Noodles,Grocery,1.0,519.37,519.37,Bank Transfer
SO-100712,2026-05-24,Elizabeth Becker,Rizal,Milk,Beverage,2.0,591.46,1182.92,Bank Transfer
SO-100844,2026-05-24,Christina Blackwell,San Jose,Shampoo,Household,4.0,38.0,152.0,Card
SO-100057,2026-05-24,Michael Smith,Bagong Silang,Coffee,Personal Care,6.0,390.01,2340.06,GCash
SO-100811,2026-05-24,Jonathan Conway,Bayanihan,Coffee,Beverage,,,,Card
SO-100674,2026-05-24,Mary Mckenzie,Sta. Cruz,Canned Sardines,Beverage,32.0,3956.12,12662.48,GCash
SO-100498,2026-05-24,Lisa House,Rizal,Instant Noodles,Grocery,2.0,492.53,985.06,GCash
SO-100920,2026-05-24,Mary Walters,San Miguel,Shampoo,Beverage,2.0,429.0,858.0,Cash
SO-100343,2026-05-24,Mr. Ryan Hansen,Poblacion,Canned Sardines,Personal Care,6.0,844.79,5068.74,GCash
SO-100885,2026-05-24,Michelle Williams,Mabini,Cooking Oil,Household,5.0,56.11,280.55,Cash
SO-100605,2026-05-24,Michael Kim,San Miguel,Coffee,Household,2.0,942.25,1884.5,Card
SO-100927,2026-05-24,Willie Nixon,San Isidro,Milk,Personal Care,1.0,820.22,820.22,Bank Transfer
SO-100124,2026-05-24,Melissa Brown,Magsaysay,Soap,Beverage,5.0,679.66,3398.3,Bank Transfer
SO-100858,2026-05-24,Benjamin Romero,Mabini,Shampoo,Household,3.0,533.23,1599.69,GCash
SO-100670,2026-05-24,Andrew Hardin,San Miguel,Rice,Grocery,3.0,636.79,1910.37,Cash
SO-100584,2026-05-24,Angela Trevino,Sta. Cruz,Cooking Oil,Beverage,,,,Bank Transfer
SO-100225,2026-05-24,Stephanie Owen,Bayanihan,Rice,Grocery,5.0,937.26,4686.3,Cash
SO-100172,2026-05-24,Suzanne Harrington,Poblacion,Coffee,Personal Care,6.0,99.03,594.18,GCash
SO-100267,2026-05-24,Francisco Greene,Maligaya,Cooking Oil,Personal Care,4.0,925.0,3700.0,Card
SO-100245,2026-05-24,Seth Wiggins,Maligaya,Instant Noodles,Household,7.0,286.81,2007.67,Cash
SO-100435,2026-05-24,Jennifer Espinoza,Sta. Cruz,Rice,Household,7.0,99.1,693.7,Bank Transfer
SO-100983,2026-05-24,Teresa Wise,San Miguel,Cooking Oil,Grocery,2.0,75.29,150.58,Cash
SO-100373,2026-05-24,Michael Ryan,San Isidro,Canned Sardines,Household,5.0,825.4,4127.0,Card
SO-100084,2026-05-24,Steven Meadows,Poblacion,Soap,Grocery,1.0,867.61,867.61,Cash
SO-100917,2026-05-24,Maria Moore,Bagong Silang,Cooking Oil,Grocery,12.0,208.77,2505.24,Cash
SO-100692,2026-05-24,Scott Alvarez,Rizal,Cooking Oil,Personal Care,3.0,111.04,333.12,Cash
SO-100699,2026-05-24,Gregory Mora,Bayanihan,Milk,Household,3.0,675.25,2025.75,Card
SO-100348,2026-05-24,James Cox,Bagong Silang,Shampoo,Beverage,6.0,362.97,2177.82,Cash
SO-100930,2026-05-24,Mary Harper,Del Pilar,Canned Sardines,Household,3.0,873.37,2620.11,GCash
SO-100570,2026-05-24,Maria Roberts,Magsaysay,Shampoo,Grocery,2.0,113.98,227.96,Cash
SO-100063,2026-05-24,Chris Carey,Bagong Silang,Instant Noodles,Household,2.0,477.65,955.3,GCash
SO-100171,2026-05-24,Aaron Davis,Magsaysay,Milk,Household,6.0,522.23,3133.38,Bank Transfer
SO-100455,2026-05-24,Debra Harper,Bayanihan,Rice,Household,4.0,193.05,772.2,Bank Transfer
SO-100769,2026-05-24,Caitlin Murphy,Rizal,Cooking Oil,Personal Care,3.0,619.08,1857.24,Bank Transfer
SO-100607,2026-05-24,Kevin Levine,Mabini,Cooking Oil,Beverage,2.0,54.98,109.96,GCash
SO-100976,2026-05-24,Justin Espinoza,Maligaya,Cooking Oil,Grocery,3.0,802.39,2407.17,Cash
SO-100143,2026-05-24,Susan Beck,Del Pilar,Milk,Household,4.0,614.68,2458.72,GCash
SO-100269,2026-05-24,Jennifer Gallagher,Magsaysay,Milk,Grocery,5.0,230.19,1150.95,Bank Transfer
SO-100723,2026-05-24,Robin Jenkins,San Jose,Cooking Oil,Personal Care,4.0,433.55,1734.2,Card
SO-100532,2026-05-24,Luis Johnson,Bagong Silang,Canned Sardines,Household,6.0,280.09,1680.54,Cash
SO-100833,2026-05-24,Taylor Garza,Bayanihan,Cooking Oil,Household,4.0,661.12,2644.48,GCash
SO-100230,2026-05-24,Brenda Dean,Sta. Cruz,Rice,Grocery,4.0,389.82,1559.28,Cash
SO-100519,2026-05-24,Christina Rollins,Mabini,Canned Sardines,Grocery,6.0,426.92,2561.52,Card
SO-100563,2026-05-24,David Davidson,Bayanihan,Rice,Household,7.0,347.16,2430.12,GCash
SO-100610,2026-05-24,Jimmy Lopez,Maligaya,Canned Sardines,Personal Care,4.0,834.19,3336.76,GCash
SO-100863,2026-05-24,Kelsey Taylor,Maligaya,Soap,Personal Care,5.0,377.31,1886.55,Cash
SO-100064,2026-05-24,Tricia Wells,San Miguel,Cooking Oil,Personal Care,3.0,343.13,1029.39,Cash
SO-100132,2026-05-24,Thomas Jacobs,Mabini,Instant Noodles,Household,3.0,526.0,1578.0,Card
SO-100612,2026-05-24,Ronald Crawford,San Jose,Rice,Household,5.0,934.74,4673.7,Cash
SO-100317,2026-05-24,Mr. David Brown,San Jose,Shampoo,Personal Care,4.0,261.09,1044.36,Card
SO-100664,2026-05-24,Diane Wallace,San Jose,Cooking Oil,Beverage,7.0,666.2,4663.4,Card
SO-100081,2026-05-24,Louis Flores,Poblacion,Milk,Personal Care,4.0,721.95,2887.8,Cash
SO-100961,2026-05-24,Kelli Brock,San Miguel,Rice,Beverage,8.0,658.62,5268.96,Bank Transfer
SO-100214,2026-05-24,Courtney Jones,San Isidro,Soap,Household,1.0,434.03,434.03,Bank Transfer
SO-100115,2026-05-24,Dylan Harris,San Jose,Milk,Household,5.0,725.76,3628.8,Card
SO-100411,2026-05-24,Anthony Brown,Poblacion,Canned Sardines,Grocery,,,,Cash
SO-100476,2026-05-24,Ryan Rogers,San Isidro,Milk,Household,5.0,544.56,2722.8,Card
SO-100735,2026-05-24,Jennifer Jimenez,San Isidro,Coffee,Beverage,3.0,61.65,184.95,Cash
SO-100943,2026-05-24,Christopher Ponce,Sta. Cruz,Cooking Oil,Household,7.0,766.34,5364.38,Card
SO-100812,2026-05-24,Rachel Robles,San Isidro,Instant Noodles,Personal Care,4.0,722.88,2891.52,GCash
SO-100288,2026-05-24,Aaron Perez,Maligaya,Rice,Grocery,3.0,852.14,2556.42,Cash
SO-100300,2026-05-24,Robert Rodriguez,Bagong Silang,Cooking Oil,Grocery,32.0,3956.12,12662.48,Cash
SO-100879,2026-05-24,Michael Ellis,Poblacion,Coffee,Beverage,8.0,656.89,5255.12,Bank Transfer
SO-100628,2026-05-24,Leah Atkinson,San Miguel,Rice,Personal Care,1.0,615.04,615.04,GCash
SO-100453,2026-05-24,Victoria Gutierrez,Del Pilar,Rice,Grocery,4.0,329.18,1316.72,Card
SO-100167,2026-05-24,Tina Barnett,Magsaysay,Milk,Grocery,3.0,770.09,2310.27,Cash
SO-100757,2026-05-24,Nicole Ball,Rizal,Cooking Oil,Beverage,1.0,494.69,494.69,GCash
SO-100906,2026-05-24,Jacqueline Calderon,Bagong Silang,Shampoo,Personal Care,4.0,84.95,339.8,Card
SO-100679,2026-05-24,Stanley Mcdaniel,San Jose,Canned Sardines,Household,6.0,872.02,5232.12,Cash
SO-100006,2026-05-24,Dawn Lopez,San Jose,Rice,Beverage,7.0,376.16,2633.12,Card
SO-100721,2026-05-24,Dylan Craig,San Isidro,Cooking Oil,Beverage,4.0,660.03,2640.12,GCash
SO-100556,2026-05-24,Jose Hensley,Maligaya,Cooking Oil,Grocery,3.0,701.4,2104.2,Cash
SO-100384,2026-05-24,Daniel Mathis,Bayanihan,Canned Sardines,Grocery,4.0,51.37,205.48,Bank Transfer
SO-100900,2026-05-24,Joy Aguilar,San Jose,Instant Noodles,Grocery,5.0,798.4,3992.0,Card
SO-100040,2026-05-24,Christopher Forbes,San Jose,Shampoo,Personal Care,1.0,328.71,328.71,Card
SO-100783,2026-05-24,Karen Thompson,Sta. Cruz,Canned Sardines,Household,3.0,502.6,1507.8,Cash
SO-100512,2026-05-24,Samantha Graham,Sta. Cruz,Canned Sardines,Grocery,2.0,479.16,958.32,GCash
SO-100662,2026-05-24,Gloria Daniel,Poblacion,Milk,Household,4.0,545.57,2182.28,Bank Transfer
SO-100017,2026-05-24,Jesse Ross,Sta. Cruz,Soap,Personal Care,7.0,259.86,1819.02,GCash
SO-100396,2026-05-24,John Church,San Miguel,Coffee,Grocery,2.0,47.1,94.2,Bank Transfer
SO-100720,2026-05-24,Amber Davenport,Del Pilar,Soap,Beverage,5.0,819.99,4099.95,Cash
SO-100838,2026-05-24,Kimberly Lane,San Jose,Soap,Household,3.0,412.58,1237.74,Bank Transfer
SO-100502,2026-05-24,Kevin Hicks,San Jose,Rice,Personal Care,3.0,347.71,1043.13,Bank Transfer
SO-100683,2026-05-24,Zachary Murphy,Bayanihan,Milk,Beverage,7.0,858.19,6007.33,Cash
SO-100356,2026-05-24,Jillian Nichols,Bayanihan,Shampoo,Grocery,8.0,156.69,1253.52,Cash
SO-100802,2026-05-24,Scott Summers,San Miguel,Coffee,Grocery,2.0,114.18,228.36,Bank Transfer
SO-100434,2026-05-24,Sheila Perez,Del Pilar,Soap,Beverage,5.0,475.38,2376.9,Bank Transfer
SO-100676,2026-05-24,Kaylee Smith,Del Pilar,Cooking Oil,Personal Care,5.0,297.39,1486.95,Cash
SO-100928,2026-05-24,Theresa Christian,Rizal,Instant Noodles,Personal Care,6.0,138.87,833.22,Bank Transfer
SO-100018,2026-05-24,Christopher Stone,Poblacion,Shampoo,Household,3.0,855.2,2565.6,GCash
SO-100032,2026-05-24,Raymond Thompson,Sta. Cruz,Instant Noodles,Personal Care,2.0,934.92,1869.84,Bank Transfer
SO-100053,2026-05-24,Erica Jackson,Del Pilar,Cooking Oil,Personal Care,4.0,583.91,2335.64,Cash
SO-100213,2026-05-24,Garrett Cooper,Rizal,Milk,Household,7.0,797.15,5580.05,Cash
SO-100849,2026-05-24,Brian Rocha,San Isidro,Shampoo,Beverage,5.0,903.02,4515.1,Bank Transfer
SO-100730,2026-05-24,Joseph Webster,Bagong Silang,Instant Noodles,Personal Care,4.0,630.7,2522.8,GCash
SO-100526,2026-05-24,Brian Wallace,Poblacion,Soap,Personal Care,8.0,856.54,6852.32,GCash
SO-100191,2026-05-24,Debbie Fernandez,Magsaysay,Cooking Oil,Household,3.0,752.0,2256.0,GCash
SO-100283,2026-05-24,Jacob Wolfe,Magsaysay,Canned Sardines,Household,5.0,255.14,1275.7,Bank Transfer
SO-100913,2026-05-24,Terry Perkins,Del Pilar,Milk,Personal Care,4.0,279.13,1116.52,Card
SO-100078,2026-05-24,Savannah Miller,Mabini,Canned Sardines,Grocery,2.0,248.87,497.74,Card
SO-100600,2026-05-24,Alexis Lopez,Maligaya,Cooking Oil,Personal Care,3.0,362.66,1087.98,Bank Transfer
SO-100576,2026-05-24,Edward Brown,San Isidro,Shampoo,Beverage,4.0,155.31,621.24,Cash
SO-100042,2026-05-24,Daniel Riley,Sta. Cruz,Canned Sardines,Household,2.0,195.32,390.64,Bank Transfer
SO-100597,2026-05-24,Elizabeth Lewis,San Jose,Cooking Oil,Grocery,4.0,85.07,340.28,Card
SO-100574,2026-05-24,Katrina Walker,Bagong Silang,Coffee,Grocery,4.0,676.74,2706.96,Bank Transfer
SO-100027,2026-05-24,Levi Paul,Bagong Silang,Canned Sardines,Personal Care,3.0,94.61,283.83,Cash
SO-100272,2026-05-24,Jason Franklin,Rizal,Soap,Household,3.0,142.83,428.49,Cash
SO-100326,2026-05-24,Lisa Carter,San Isidro,Cooking Oil,Beverage,6.0,867.2,5203.2,Card
SO-100567,2026-05-24,Joshua Austin,Bayanihan,Coffee,Grocery,6.0,570.53,3423.18,Card
SO-100025,2026-05-24,Hailey Mcdonald,Sta. Cruz,Cooking Oil,Beverage,1.0,867.45,867.45,Card
SO-100208,2026-05-24,Brian Stephens,Del Pilar,Milk,Personal Care,3.0,308.09,924.27,Card
SO-100916,2026-05-24,William Gilbert,Magsaysay,Coffee,Personal Care,1.0,44.3,44.3,Card
SO-100030,2026-05-24,Jody Stanton,Del Pilar,Milk,Beverage,3.0,157.84,473.52,Cash
SO-100292,2026-05-24,Craig Juarez,Bayanihan,Cooking Oil,Grocery,8.0,414.62,3316.96,Cash
SO-100287,2026-05-24,Christopher Fields,San Jose,Cooking Oil,Beverage,2.0,582.16,1164.32,Cash
SO-100224,2026-05-24,Victor Downs,Magsaysay,Cooking Oil,Household,8.0,488.25,3906.0,Card
SO-100637,2026-05-24,Brian Williams,Mabini,Cooking Oil,Beverage,4.0,369.85,1479.4,GCash
SO-100357,2026-05-24,Danielle Shields,Sta. Cruz,Coffee,Personal Care,1.0,586.3,586.3,Card
SO-100266,2026-05-24,Anita Bird,San Miguel,Coffee,Grocery,4.0,347.6,1390.4,GCash
SO-100134,2026-05-24,Sarah Green,Mabini,Rice,Grocery,1.0,320.82,320.82,Bank Transfer
SO-100105,2026-05-24,Jeffrey Burton,Del Pilar,Canned Sardines,Grocery,2.0,44.01,88.02,GCash
SO-100007,2026-05-24,Mark Orozco,Maligaya,Shampoo,Beverage,5.0,639.67,3198.35,Card
SO-100125,2026-05-24,Jennifer Brown,Rizal,Instant Noodles,Household,5.0,141.89,709.45,GCash
SO-100593,2026-05-24,Jamie Jones,Magsaysay,Milk,Household,6.0,580.62,3483.72,Cash
SO-100988,2026-05-24,Michelle Ramirez,Bagong Silang,Canned Sardines,Personal Care,4.0,809.69,3238.76,GCash
SO-100958,2026-05-24,Amber Matthews,Rizal,Soap,Grocery,9.0,281.12,2530.08,Bank Transfer
SO-100509,2026-05-24,Amanda Santiago,San Jose,Coffee,Household,6.0,123.57,741.42,GCash
SO-100378,2026-05-24,Larry Conway,San Miguel,Milk,Beverage,5.0,610.84,3054.2,Cash
SO-100700,2026-05-24,Jill Allen,Rizal,Instant Noodles,Grocery,4.0,713.54,2854.16,Card
SO-100608,2026-05-24,Joshua Byrd,San Isidro,Coffee,Personal Care,1.0,213.98,213.98,Cash
SO-100797,2026-05-24,Julia Ferguson,San Jose,Milk,Personal Care,5.0,398.38,1991.9,GCash
SO-100596,2026-05-24,Zachary Clark,Bagong Silang,Milk,Grocery,6.0,217.71,1306.26,Card
SO-100555,2026-05-24,Mrs. Jamie Wilson,Magsaysay,Milk,Beverage,2.0,352.32,704.64,Bank Transfer
SO-100199,2026-05-24,Timothy Lowe,Magsaysay,Instant Noodles,Grocery,3.0,192.31,576.93,Card
SO-100678,2026-05-24,Alexis Gomez,Maligaya,Instant Noodles,Grocery,,,,Cash
SO-100548,2026-05-24,Jessica Moore,Mabini,Milk,Beverage,8.0,738.36,5906.88,Bank Transfer
SO-100973,2026-05-24,Kenneth White,San Isidro,Instant Noodles,Personal Care,,,,Bank Transfer
SO-100839,2026-05-24,Amanda Burke,San Isidro,Shampoo,Personal Care,4.0,63.03,252.12,Card
SO-100119,2026-05-24,Christopher Brown,San Jose,Rice,Beverage,4.0,949.5,3798.0,Cash
SO-100452,2026-05-24,Sydney Howard,Rizal,Coffee,Beverage,6.0,577.75,3466.5,GCash
SO-100080,2026-05-24,Jack Sparks,Mabini,Instant Noodles,Household,1.0,354.77,354.77,Bank Transfer
SO-100914,2026-05-24,Jordan Butler,Maligaya,Milk,Beverage,4.0,829.91,3319.64,Bank Transfer
SO-100982,2026-05-24,Julia Ramos,Rizal,Coffee,Beverage,1.0,264.49,264.49,Bank Transfer
SO-100709,2026-05-24,Jennifer Nelson,San Jose,Shampoo,Grocery,4.0,490.39,1961.56,Bank Transfer
SO-100301,2026-05-24,Brian Evans,Del Pilar,Canned Sardines,Beverage,6.0,917.44,5504.64,Card
SO-100211,2026-05-24,Ryan Stone,Bayanihan,Coffee,Beverage,5.0,224.13,1120.65,Card
SO-100698,2026-05-24,Robin Jimenez,Del Pilar,Shampoo,Personal Care,5.0,620.81,3104.05,Card
SO-100671,2026-05-24,Justin Moore,Del Pilar,Rice,Personal Care,8.0,166.85,1334.8,GCash
SO-100734,2026-05-24,Robin Torres DVM,Del Pilar,Shampoo,Household,6.0,375.31,2251.86,Bank Transfer
SO-100882,2026-05-24,Pamela Lee,Sta. Cruz,Canned Sardines,Beverage,7.0,597.91,4185.37,Cash
SO-100697,2026-05-24,Alec Davis,Sta. Cruz,Cooking Oil,Household,4.0,284.88,1139.52,GCash
SO-100809,2026-05-24,Mr. John Thomas,San Isidro,Cooking Oil,Grocery,4.0,398.48,1593.92,GCash
SO-100913,2026-05-24,Terry Perkins,Del Pilar,Milk,Personal Care,4.0,279.13,1116.52,Card
SO-100767,2026-05-24,Jason Douglas,Poblacion,Shampoo,Personal Care,5.0,286.52,1432.6,GCash
SO-100403,2026-05-24,Linda Smith,Mabini,Soap,Personal Care,4.0,554.08,2216.32,Card
SO-100763,2026-05-24,Maurice Fisher,Magsaysay,Canned Sardines,Grocery,4.0,151.63,606.52,Bank Transfer
SO-100654,2026-05-24,Felicia Pearson,Magsaysay,Coffee,Personal Care,5.0,845.99,4229.95,Cash
